customer_id,name,age,city,email,purchase_amount,rating
1001,Deepak,46,Hyderabad,user_1@example.com,3872.0,5.0
1002,Deepak,36,Hyderabad,user_2@example.com,4526.0,3.0
1003,Tanvi,53,Hyderabad,user_3@example.com,230.0,5.0
1004,,19,Hyderabad,user_4@example.com,2533.0,4.0
1005,,50,,user_5@example.com,3485.0,5.0
1006,,61,Mumbai,user_6@example.com,574.0,3.0
1007,Deepak,59,Hyderabad,user_7@example.com,2847.0,5.0
1008,Sneha Patel,64,Chennai,user_8@example.com,4758.0,4.0
1009,Deepak,20,Pune,user_9@example.com,3990.0,5.0
1010,Aarav Sharma,42,Delhi,user_10@example.com,2535.0,1.0
1011,Rahul,31,Delhi,user_11@example.com,2141.0,1.0
1012,Riya Verma,19,,user_12@example.com,0.0,4.0
1013,Deepak,24,,user_13@example.com,2656.0,3.0
1014,Sneha Patel,34,,user_14@example.com,1685.0,4.0
1016,,35,Delhi,user_16@example.com,261.0,2.0
1017,Sneha Patel,53,Chennai,user_17@example.com,3442.0,5.0
1018,Deepak,57,Pune,user_18@example.com,437.0,5.0
1019,Tanvi,43,Mumbai,user_19@example.com,4959.0,4.0
1020,Rahul,42,Mumbai,user_20@example.com,2162.0,5.0
1021,Aarav Sharma,42,Hyderabad,user_21@example.com,2668.0,1.0
1022,Rahul,25,Hyderabad,user_22@example.com,491.0,3.0
1023,Kavya,50,Bengaluru,user_23@example.com,3661.0,2.0
1024,Aarav Sharma,45,Hyderabad,user_24@example.com,0.0,1.0
1025,Tanvi,29,Delhi,user_25@example.com,3204.0,5.0
1026,Tanvi,54,Bengaluru,user_26@example.com,2831.0,5.0
1027,Kavya,52,Mumbai,user_27@example.com,2790.0,1.0
1028,,43,Hyderabad,user_28@example.com,4593.0,3.0
1029,Aarav Sharma,32,Hyderabad,user_29@example.com,1584.0,3.0
1031,Tanvi,21,Chennai,user_31@example.com,1778.0,3.0
1032,,53,Pune,user_32@example.com,1822.0,3.0
1033,Sneha Patel,45,Delhi,user_33@example.com,2829.0,5.0
1034,Sneha Patel,23,,user_34@example.com,3727.0,4.0
1035,Sneha Patel,28,Hyderabad,user_35@example.com,1629.0,4.0
1036,Aarav Sharma,56,Chennai,user_36@example.com,0.0,1.0
1037,Aarav Sharma,44,Chennai,user_37@example.com,2775.0,5.0
1038,Aarav Sharma,20,Hyderabad,user_38@example.com,809.0,3.0
1039,Aarav Sharma,54,Mumbai,user_39@example.com,4879.0,3.0
1040,Sneha Patel,42,Hyderabad,user_40@example.com,1595.0,1.0
